"month","day","data","median","LB","UB"
6,15,11,11,11,11
6,22,2,2.15524720888788,0,7.64373592324881
6,29,0,2.21683970134251,0,7.5395462372077
7,6,3,2.52533032441754,0,7.82367748183871
7,13,4,2.67770440900895,0,7.78414940017247
7,20,2,2.61762160112654,0,7.66196913311281
7,27,2,2.60864931548759,0,7.69154025414114
8,3,6,2.49205184511576,0,7.7205791332867
8,10,0,2.46032918528779,0,7.99557246774983
8,17,NA,2.41784451253111,0,8.20013499675506
8,24,NA,2.36566526534572,0,8.56955104186567
8,31,NA,2.2518365738382,0,9.18423263939172
9,7,NA,2.2739770238522,0,9.65420836102356
