"year","month","day","data","median","LB","UB"
2023,6,8,24,23,23,23
2023,6,15,31,32.6539077115101,0,136.778851688641
2023,6,22,26,26.7170125367667,0,126.123013583428
2023,6,29,0,24.8878136287896,0,114.123707496801
2023,7,6,29,21.5976818081566,0,110.599338329932
2023,7,13,0,19.3516780679278,0,115.554201226555
2023,7,20,51,17.6728837781151,0,145.62240798864
2023,7,27,0,17.4090537705574,0,243.947628011079
2023,8,3,42,15.0499302644108,0,381.513288193238
2023,8,10,0,14.6260921851721,0,669.302201368763
2023,8,17,NA,13.658480125773,0,1141.81187004425
2023,8,24,NA,14.7187578904332,0,1970.86890960067
2023,8,31,NA,14.2894180495862,0,3410.1978950619
2023,9,7,NA,15.342248328998,0,5865.84526403831
