"year","month","day","data","median","LB","UB"
2023,6,15,30,34.2351036634051,23.7148228365125,44.1922389739757
2023,6,22,26,31.2072811325752,20.1735759016474,42.6158813225621
2023,6,29,23,28.1651362398581,16.0737916828753,39.305325545922
2023,7,6,36,25.107010638675,13.3862545150375,36.2776097017806
2023,7,13,30,22.0308233772675,11.3980327799378,32.7738269590143
2023,7,20,19,18.9338864560539,7.43198769024672,30.167591179411
2023,7,27,20,15.8125962366811,4.14233630348004,27.1026868717114
2023,8,3,15,12.6618737973473,0.380577122817217,24.0241175140918
2023,8,10,3,9.47402875113078,0,20.9567595144888
2023,8,17,1,6.23604138955042,0,17.8681605750082
2023,8,24,NA,2.92088064640584,0,15.1606160467914
2023,8,31,NA,0,0,11.6687060180557
2023,9,7,NA,0,0,7.19762694842841
2023,9,14,NA,0,0,4.87806805110196
