"month","day","data","median","LB","UB"
6,22,11,11,11,11
6,29,0,1.84164385267361,0,9.30509898421946
7,6,0,1.43602214110192,0,7.09022899642451
7,13,6,1.14268538752913,0,6.79356492460306
7,20,0,1.13867151680234,0,6.52286890846319
7,27,0,0.820617422268648,0,6.46694893107781
8,3,0,0.804562964367346,0,6.12582029716569
8,10,0,0.723690744557255,0,6.10279895321821
8,17,0,0.677960588245129,0,6.21305099321585
8,24,NA,0.648267125563463,0,5.9714042020317
8,31,NA,0.707509047495822,0,6.19327119059834
9,7,NA,0.647389566619617,0,6.33969048596032
9,14,NA,0.60155971068515,0,6.43096070345729
