"year","month","day","data","median","LB","UB"
2023,6,15,4,4,4,4
2023,6,22,1,1.50305750553,0,4.0815523626337
2023,6,29,0,1.55883719329533,0,4.07687317748032
2023,7,6,2,1.58104554674487,0,4.04676965755124
2023,7,13,3,1.54225379558492,0,4.10096784412526
2023,7,20,2,1.43872601968071,0,3.85100233208385
2023,7,27,1,1.35872921751787,0,3.68755051048204
2023,8,3,0,1.23398929044083,0,3.62260062640706
2023,8,10,0,1.10728996066422,0,3.5428851858036
2023,8,17,1,1.01141112868854,0,3.45548473831566
2023,8,24,NA,0.888845807419573,0,3.38913318089414
2023,8,31,NA,0.761475543849369,0,3.4883864365865
2023,9,7,NA,0.740355106113202,0,3.45024175583181
2023,9,14,NA,0.611784290992028,0,3.70534484090032
