month,day,data,median,LB,UB
1,14,15,15,15,15
1,21,21,24.3813680658913,3.50497777877916,45.0624983667961
1,28,31,25.9442698333064,6.62049736667146,46.5946664585605
2,4,29,24.5993379951402,6.01205012221412,44.1698342950763
2,11,21,21.1173467861536,2.09962660207456,40.2939554892668
2,18,15,17.5097786390605,-0,36.5597368595796
2,25,0,13.81141900806,-0,32.1566672508137
3,3,7,10.5648535047127,-0,30.1683629348836
3,10,18,8.37272618402748,-0,27.8601034721191
3,17,16,6.21075417354817,-0,25.3380774370257
3,24,NaN,5.17491000755113,-0,24.592932397617
3,31,NaN,4.1420905653965,-0,23.3142271467784
4,7,NaN,3.12346430888884,-0,21.9498348056136
4,14,NaN,2.78558915130526,-0,21.4013755391615
