year,month,day,data,median,LB,UB
2024,1,21,21,21,21,21
2024,1,28,31,24.666377240688,1.19118137384288,49.5669480493444
2024,2,4,29,23.8073812618835,1.32040075296813,45.6123779315306
2024,2,11,21,21.7294318013711,0.236359925524308,42.7552137000335
2024,2,18,15,19.8082689709098,-0,41.9087328880464
2024,2,25,0,17.4310969203772,-0,39.00557872091
2024,3,3,7,14.8949341709484,-0,36.991949272184
2024,3,10,18,12.8572043350261,-0,33.7075347385791
2024,3,17,16,10.7007527966823,-0,32.6556472518256
2024,3,24,23,9.38880260224122,-0,31.3906466077882
2024,3,31,NaN,8.33613051344939,-0,30.4461131531221
2024,4,7,NaN,7.35245292650339,-0,30.1510130916469
2024,4,14,NaN,6.29619630474604,-0,29.5264593091391
2024,4,21,NaN,5.32930516752741,-0,28.4505116221775
